StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,SitingDesc,lat,lon,elev_ft,connect,disconnect,elev_m,dist_to_almond_km,in_window
50,Thermal,Thermal,Southern Region Office,Riverside,7/22/1986,1/11/1999,False,True,-30,Grass,33º38'47N / 33.646389,-116º14'30W / -116.24167,,33.646389,-116.24167,-30,1986-07-22,1999-01-11,-9.144,149.03,False
51,Healdsburg,Healdsburg,North Central Region Office,Sonoma,8/24/1986,3/28/1994,False,True,180,Grass,38º39'43N / 38.661906,-122º52'10W / -122.86946,,38.661906,-122.86946,180,1986-08-24,1994-03-28,54.864000000000004,44.25,False
52,San Luis Obispo,San Luis Obispo,Southern Region Office,San Luis Obispo,4/2/1986,12/31/2050,True,True,330,Grass,35º18'20N / 35.305442,-120º39'42W / -120.66178,,35.305442,-120.66178,330,1986-04-02,2050-12-31,100.584,24.69,True
53,Greenfield,Greenfield,South Central Region Office,Monterey,10/10/1986,10/23/1991,False,True,270,Grass,36º20'28N / 36.341111,-121º15'25W / -121.25694,,36.341111,-121.25694,270,1986-10-10,1991-10-23,82.296,62.41,False
54,Blackwells Corner,Blackwells Corner,South Central Region Office,Kern,10/19/1986,10/18/2021,False,False,705,Grass,35º38'59N / 35.649861,-119º57'33W / -119.9593,"This station is located on a grass field located in the interior of an almond orchard. Orchard activities can adversly effect the data from this station. <br />
Prevailing Winds: SW/N",35.649861,-119.9593,705,1986-10-19,2021-10-18,214.88400000000001,0.27,True
55,Palm Desert,Palm Desert,Southern Region Office,Riverside,5/26/1987,4/11/1994,False,True,200,Grass,33º43'50N / 33.730556,-116º22'57W / -116.3825,,33.730556,-116.3825,200,1987-05-26,1994-04-11,60.96,162.99,False
56,Los Banos,Los Banos,South Central Region Office,Merced,6/28/1988,9/14/2022,False,True,95,Grass,37º5'48N / 37.096694,-120º45'14W / -120.7539,"DATE: 11-12-02<br/><br/>
STATION#:56<br/>                        STATION NAME: Los Banos<br/>
ETO ZONE: 15<br/>
PREVAILING WINDS: NW<br/>
LOCAL CHARACTER: Primarily agricultural area.  Large fields of cotton, grapes and orchards characterize regional farming operations.<br/><br/>

DESCRIPTION OF STATION SITE:<br/> 
Located on a large flood irrigated pasture.  The grass is primarily clumpy fescue that is grazed to a general height of approximately 12ft. The station is surrounded with a Critter Corral type of enclosure.<br/><br/>
 
NORTH:<br/>
300+ft: Grass pasture<br/><br/>

EAST:<br/>
1200+ft; Grass pasture<br/><br/>

SOUTH:<br/>
300+ft: Grass pasture<br/><br/>

WEST:<br/>
400+ft: Grass pasture<br/><br/>

COMMENTS:<br/>",37.096694,-120.7539,95,1988-06-28,2022-09-14,28.956000000000003,2.0,True
57,Buntingville,Susanville,Northern Region Office,Lassen,6/22/1986,5/12/2021,False,True,4005,Grass,40º17'23N / 40.289799,-120º26'2W / -120.433948,"DATE: 11-12-02<br />
<br />
STATION#:57<br />
STATION NAME: Buntingville<br />
ETO ZONE: 13<br />
PREVAILING WINDS: W<br />
LOCAL CHARACTER: Remote area in the Northeast Plateau area of California. It is characterized as an agricultural/recreation region. Hay, strawberry plants and cow/calf operations are primary agricultural activities.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
Located on a ranch that is operated as hunting club. The station is installed in a wire fenced enclosure in the middle of a large flood irrigated pasture. The pasture soils are sandy with droughty tendencies and is kept moderately irrigated. It is usually kept well grazed and managed. An evaporation pan is operated during the summer.<br />
<br />
NORTH:<br />
300  ft: Irrigated pasture<br />
<br />
EAST:<br />
300  ft: Irrigated pasture<br />
<br />
SOUTH:<br />
300  ft: Irrigated pasture<br />
<br />
WEST:<br />
300  ft: Irrigated pasture<br />
<br />
COMMENTS:<br />
The pasture conditions can change almost overnight when irrigation practices change. As an example, when the irrigation well went dry, the pasture went from approximately 95% green groundcover on 8/1/90 to totally brown on 9/1/90.",40.289799,-120.433948,4005,1986-06-22,2021-05-12,1220.7240000000002,129.91,True
58,Santa Paula,Santa Paula,Southern Region Office,Ventura,7/30/1987,2/15/1991,False,True,175,Grass,34º18'6N / 34.301667,-119º7'8W / -119.11889,,34.301667,-119.11889,175,1987-07-30,1991-02-15,53.34,76.51,False
59,Tehachapi,Tehachapi,South Central Region Office,Kern,7/29/1986,8/23/1990,False,True,4110,Grass,35º6'51N / 35.114167,-118º26'19W / -118.43861,,35.114167,-118.43861,4110,1986-07-29,1990-08-23,1252.728,30.69,False
60,Barstow,Barstow,Southern Region Office,San Bernardino,11/20/1986,2/20/1992,False,True,2180,Grass,34º54'12N / 34.903333,-117º6'54W / -117.115,,34.903333,-117.115,2180,1986-11-20,1992-02-20,664.464,152.85,False
61,Orland,Orland,Northern Region Office,Glenn,5/13/1987,5/26/2010,False,False,198,Grass,39º41'31N / 39.691822,-122º9'13W / -122.15351,"DATE: 11-12-02<br/><br/>
STATION#:61<br/>                             STATION NAME: Orland<br/>
ETO ZONE: 12<br/>
PREVAILING WINDS:<br/> 
LOCAL CHARACTER: Rural area with predominately tree crops such as almonds, plums and peaches.  Row crops, tomatoes and beans, are common as well.<br/><br/>

DESCRIPTION OF STATION SITE:<br/>
Located on a private farm in a flood-irrigated pasture.  The station is installed in a metal tubing panel enclosure.<br/><br/>  

NORTH:<br/>
300+ ft: Flood irrigated pasture<br/><br/>

EAST:<br/>
300+ ft: Flood irrigated pasture<br/>
300ft: Line of 50`+ Eucalyptus trees.<br/><br/>
 
SOUTH:<br/>
300+ ft: Flood irrigated pasture<br/><br/>

WEST:<br/>
450+ ft: Flood irrigated pasture<br/>
450ft: Almond orchard<br/><br/>

COMMENTS:<br/>
Pasture is heavily grazed (cattle) may have reduced ground cover and often has low soil moisture.",39.691822,-122.15351,198,1987-05-13,2010-05-26,60.3504,0.0,False
62,Temecula,Rancho California,Southern Region Office,Riverside,11/25/1986,12/2/2024,False,False,1420,Grass,33º29'12N / 33.48665,-117º13'42W / -117.22827,"DATE: 11-18-02<br />
<br />
STATION#:62<br />
STATION NAME: Temecula<br />
ETO ZONE: 6<br />
PREVAILING WINDS: SW<br />
LOCAL CHARACTER: This is an intensive agricultural area in steep sided hill and valley terrain. Primary crops are avocados and specially crops.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
The station is located on a water storage site operated by the Rancho California Water District. The site is an equipment/pipe storage area with a large water tank that has been built in a carved cove in the hillside. The station has been installed on the side of a north sloping hill adjacent to the water tank. It is level with the top of the tank. The hillside has been planted with what appears to recumbent fescue that varies in height from a few inches to a foot tall. It is irrigated with installed sprinklers.<br />
<br />
NORTH:<br />
100ft: Grass --- down a steep slope.<br />
100  ft: Native vegetation<br />
<br />
EAST:<br />
60ft: Grass<br />
60ft: Edge of cut to the cove carved out for water tank<br />
60-90ft: Unpaved road around water tank approximately 50-60 feet below the station.<br />
90ft: Water tank<br />
<br />
SOUTH:<br />
50ft: grass<br />
50ft: 6ft: chain link fence<br />
50  ft: Avocado grove<br />
<br />
WEST:<br />
100ft: Grass --- down a steep slope.<br />
100  ft: Native vegetation<br />
<br />
COMMENTS:<br />
The cooperator has significant problems with maintaining the grass in a viable condition. This site has severe constraints when it is compared to the CIMIS site criteria. ETo data from this site should be used with caution.",33.48665,-117.22827,1420,1986-11-25,2024-12-02,432.81600000000003,221.5,True
63,Novato,Novato,North Central Region Office,Marin,7/1/1986,1/18/2002,False,True,25,Grass,38º7'18N / 38.121739,-122º32'38W / -122.54378,,38.121739,-122.54378,25,1986-07-01,2002-01-18,7.62,52.42,False
64,Santa Ynez,Santa Ynez,Southern Region Office,Santa Barbara,11/21/1986,12/31/2050,True,True,490,Grass,34º34'59N / 34.583144,-120º4'45W / -120.07924,"DATE: 11-18-02<br/><br/>
STATION #: 64<br/>	             STATION NAME: Santa Ynez<br/> 
ETO ZONE: 6<br/> 
PREVAILING WINDS: Westerly<br/>  
LOCAL CHARACTER: Recreation and agriculture are combined in this area.  Agriculture includes horse and cattle ranching, vineyards, and some vegetables to the west.<br/><br/>  

DESCRIPTION OF STATION SITE:<br/>
Located on a large farming operation, the station has been installed in a grassed plot on the edge of a 60-acre field of alfalfa.  The site is irrigated by the landowner with hand moved sprinkler system.<br/><br/>   

NORTH:<br/>
20ft: Grass<br/>
20-300+ ft: Alfalfa<br/><br/>

EAST:<br/>
20ft: Grass<br/>
20-300+ ft: Alfalfa<br/><br/>
 
SOUTH:<br/>
20ft: Grass<br/>
20-300+ ft: Alfalfa<br/><br/>

WEST:<br/>
100ft: Grass<br/>
100-150ft: Paved farm road including unpaved shoulders<br/>
150+ ft: Alfalfa/wheat rotation<br/><br/> 
 
COMMENTS:<br/>
This site has some constraints when it is compared to CIMIS siting criteria.  Since it is located within an alfalfa field, it is significantly affected by the changing conditions mandated by alfalfa culture. The alfalfa is typically dried off and cut and left to cure in the field. During this period, the station is in a water deficit condition.",34.583144,-120.07924,490,1986-11-21,2050-12-31,149.352,87.48,True
65,Walnut Creek,Walnut Creek,North Central Region Office,Contra Costa,7/22/1987,3/8/2002,False,True,440,Grass,37º54'52N / 37.914392,-122º4'56W / -122.08226,,37.914392,-122.08226,440,1987-07-22,2002-03-08,134.112,27.14,False
66,San Diego,San Diego,Southern Region Office,San Diego,4/27/1989,12/19/2001,False,True,370,Grass,32º43'59N / 32.733056,-117º8'5W / -117.13472,,32.733056,-117.13472,370,1989-04-27,2001-12-19,112.77600000000001,248.88,False
67,Goleta,Santa Barbara,Southern Region Office,Santa Barbara,2/17/1988,4/7/1993,False,True,30,Grass,34º25'56N / 34.432222,-119º50'20W / -119.83889,,34.432222,-119.83889,30,1988-02-17,1993-04-07,9.144,85.59,False
68,Seeley,Seeley,Southern Region Office,Imperial,5/29/1987,3/27/2025,False,False,40,Grass,32º45'34N / 32.759575,-115º43'55W / -115.73207,"DATE: 11-18-02<br />
<br />
STATION#:68<br />
STATION NAME: Seeley<br />
ETO ZONE: 18<br />
PREVAILING WINDS: W<br />
LOCAL CHARACTER: Extensive agricultural area. Primary activities include hay/alfalfa crops and cattle.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
Located on un-used portion of the campus of a country elementary school. The station is enclosed by a 20x16 waist high chain-link fence on a moderately well maintained Bermuda grass. The site is flood irrigated and maintained by Imperial Irrigation District personnel.<br />
<br />
NORTH:<br />
50ft: Turf<br />
50-75ft: Small canal (usually dry) and native vegetation<br />
75`  &#65533;: Rotation crops ---sugar beets/oats etc<br />
<br />
EAST:<br />
200ft: Turf<br />
200`  &#65533;: Native vegetation<br />
<br />
SOUTH:<br />
50ft: Turf<br />
50ft: Tree<br />
50-100ft: Turf<br />
100`  &#65533;: Paved/turf areas of school play ground<br />
<br />
WEST:<br />
&#65533;150&#65533;&#65533;: Turf<br />
150&#65533;&#65533; &#65533;175&#65533;&#65533;: Paved road<br />
175&#65533;&#65533;  &#65533;: Rotation crops ---sugar beets/oats etc<br />
<br />
COMMENTS:<br />
Soils are somewhat droughty and the turf can become dry and brown in the summer when the school is not in session.",32.759575,-115.73207,40,1987-05-29,2025-03-27,12.192,132.72,True
69,San Jose,San Jose,North Central Region Office,Santa Clara,6/8/1987,11/22/2002,False,True,125,Grass,37º19'34N / 37.326189,-121º57'7W / -121.95182,,37.326189,-121.95182,125,1987-06-08,2002-11-22,38.1,57.85,False
70,Manteca,Manteca,North Central Region Office,San Joaquin,11/12/1987,12/31/2050,True,True,33,Grass,37º50'5N / 37.834822,-121º13'23W / -121.22319,"DATE: 11-18-02<br/><br/>
STATION#:70<br/>                             STATION NAME: Manteca<br/> 
ETO ZONE: 12<br/>   
PREVAILING WINDS: NW<br/>  
LOCAL CHARACTER: Largely agricultural with new housing increasing in the West. Principle agricultural activities include all grapes, all types of tomatoes, all types of cherries and almond meats.<br/><br/>

DESCRIPTION OF STATION SITE:<br/>
 The station is located on the agricultural facility of Delta College.  It is located in a flood-irrigated pasture used primarily to graze sheep.  The pasture is maintained by the college staff/students.  It is enclosed with a livestock proof fence.<br/><br/> 

NORTH:<br/>
300ft: Pasture<br/>
300-350 ft: Paved road/unpaved shoulders<br/>
350+ ft; Single story houses<br/><br/>

EAST:<br/>
250ft: Pasture<br/>
250ft: Pens associates with pasture<br/><br/>

SOUTH:<br/>
500+ ft: Pasture<br/><br/>
 
WEST:<br/>
500+ ft: Pasture<br/><br/>
 
COMMENTS:<br/>
Sometimes over-irrigated.",37.834822,-121.22319,33,1987-11-12,2050-12-31,10.0584,0.12,True
71,Modesto,Modesto,South Central Region Office,Stanislaus,6/25/1987,12/31/2050,True,True,35,Grass,37º38'43N / 37.645222,-121º11'16W / -121.18776,"DATE: 11-12-02<br/><br/>
STATION#:71<br/>                             STATION NAME: Modesto<br/>
ETO ZONE: 14<br/>
PREVAILING WINDS: NW<br/> 
LOCAL CHARACTER: Agricultural area with primarily large operations.  Common crops and activity include cow/calf production, fruit and nut orchards and nursery.<br/><br/>

DESCRIPTION OF STATION SITE:<br/>
Located on a large ranch that specializes in production of breeding beef stock.
The station is located in a critter corral type of metal enclosure in a flood-irrigated pasture.<br/><br/>

NORTH:<br/>
500+ ft: Irrigated pasture<br/><br/>

EAST:<br/>
500+ ft: irrigated pasture<br/><br/>

SOUTH:<br/>
200ft: irrigated pasture<br/>
200+ ft: native vegetation<br/><br/>

WEST:<br/>
200ft: irrigated pasture<br/>
200-300+ ft: native vegetation<br/>
300-350ft: paved ranch road<br/>
350ft: irrigated pasture<br/><br/>

COMMENTS:<br/>
Pasture may be allowed to go fallow when water is short.  Native vegetation appears to creeping into some of the surrounding irrigated areas.  Site is subject to flooding during wet winter from river overflow.",37.645222,-121.18776,35,1987-06-25,2050-12-31,10.668000000000001,1.01,True
72,Palo Verde,Palo Verde,Southern Region Office,Imperial,9/8/1987,12/20/2000,False,True,230,Alfalfa,33º23'15N / 33.3875,-114º43'21W / -114.7225,,33.3875,-114.7225,230,1987-09-08,2000-12-20,70.104,17.36,False
73,Hollywood Hills,Burbank,Southern Region Office,Los Angeles,3/4/1988,9/14/1993,False,True,560,Grass,34º8'50N / 34.147222,-118º19'4W / -118.31778,,34.147222,-118.31778,560,1988-03-04,1993-09-14,170.68800000000002,103.01,False
74,Escondido,Escondido,Southern Region Office,San Diego,4/26/1988,12/24/1998,False,True,450,Grass,33º5'24N / 33.09,-116º58'52W / -116.98111,,33.09,-116.98111,450,1988-04-26,1998-12-24,137.16,223.26,False
75,Irvine,Irvine,Southern Region Office,Orange,10/7/1987,12/31/2050,True,True,410,Grass,33º41'18N / 33.68845,-117º43'16W / -117.72118,"DATE: 11-12-02<br />
<br />
STATION#:75<br />
STATION NAME: Irvine<br />
ETO ZONE: 6<br />
PREVAILING WINDS: W<br />
LOCAL CHARACTER: The station is located on the grounds of a University of California Field Station. The facility conducts research primarily in citrus fruit, turf grasses and other ornamentals. The field station is on the edge of a rapidly growing urban area and close to the El Toro naval air station runway.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
The station is installed on a grass plot that is well maintained. Irrigation is accomplished with pop-up sprinklers and is mowed by facility personnel.<br />
<br />
NORTH:<br />
50ft: Well-maintained turf<br />
50ft: Four-foot tall fence/wall and large soil storage bins.<br />
50-200ft: Fallow field/equipment storage area<br />
<br />
EAST:<br />
50ft: Well-maintained turf<br />
50-200ft: Fallow field/equipment storage area<br />
200-225ft: Paved lane<br />
225  ft: Citrus grove 12-15` tall<br />
<br />
SOUTH:<br />
50ft: Well-maintained turf<br />
50-200ft: Ground cover test plots --- well maintained year-round<br />
200ft: Paved lane<br />
<br />
WEST:<br />
50ft: Well-maintained turf<br />
50-100ft: graveled roadway and parking area.<br />
100ft: Windbreak Fence<br />
100  ft: Equipment parking area<br />
<br />
COMMENTS:<br />",33.68845,-117.72118,410,1987-10-07,2050-12-31,124.968,175.41,True
76,Betteravia,Guadalupe,Southern Region Office,Santa Barbara,12/18/1987,7/1/1993,False,True,160,Grass,34º55'26N / 34.923889,-120º30'42W / -120.51167,,34.923889,-120.51167,160,1987-12-18,1993-07-01,48.768,66.68,False
77,Oakville,Napa,North Central Region Office,Napa,3/1/1989,12/31/2050,True,True,190,Grass,38º25'43N / 38.428475,-122º24'37W / -122.41021,,38.428475,-122.41021,190,1989-03-01,2050-12-31,57.912000000000006,32.09,True
78,Pomona,Pomona,Southern Region Office,Los Angeles,3/14/1989,12/31/2050,True,True,730,Grass,34º3'24N / 34.056589,-117º48'47W / -117.81307,,34.056589,-117.81307,730,1989-03-14,2050-12-31,222.50400000000002,138.27,True
79,Angwin,St. Helena,North Central Region Office,Napa,5/11/1989,12/27/1996,False,True,1720,Grass,38º33'19N / 38.555242,-122º25'19W / -122.42186,,38.555242,-122.42186,1720,1989-05-11,1996-12-27,524.256,29.34,False
80,Fresno State,Fresno,South Central Region Office,Fresno,10/3/1988,12/31/2050,True,True,339,Grass,36º49'15N / 36.820833,-119º44'32W / -119.74231,"DATE: 11-12-02<br/><br/>
STATION #:  80 <br/>                                                     
STATION NAME: Fresno<br/> 
ETO ZONE: 12<br/>
PREVAILING WINDS: NW<br/> 
LOCAL CHARACTER: Located on the north campus of CSU Fresno.  This is a large island of agricultural activity in the north area of Fresno.  This portion of the campus is used for livestock maintenance in small paddock or large pasture settings.<br/><br/>

DESCRIPTION OF STATION SITE:<br/>
The station is placed in a flood irrigated pasture area that is used for grazing.  It is protected by a large critter corral type enclosure.  Within the enclosure there are additional instruments and evaporation pan that comprise an agroclimatic site operated by the Department of Water Resources office in Fresno.<br/><br/>

NORTH:<br/>
500+ ft: Irrigated pasture<br/><br/>

EAST:<br/>
300+ ft: Irrigated pasture<br/><br/>

SOUTH:<br/>
500+ ft: Irrigated pasture<br/><br/>

WEST:<br/>
175ft: Irrigated pasture<br/>
175-200ft; Unpaved access road<br/>
200-500+ ft: Irrigated pasture<br/><br/>

COMMENTS:<br/>
The the grass can vary in height during the growing season. It has been noted that, at times the instrumentation appear to accumulate a layer of dust, possibly from the unpaved access roads and nearby farming activities. It is serviced frequently.",36.820833,-119.74231,339,1988-10-03,2050-12-31,103.3272,0.39,True
81,Shenandoah Valley,Plymouth,North Central Region Office,Amador,5/11/1990,5/17/2000,False,True,1550,Grass,38º31'22N / 38.522697,-120º48'18W / -120.80507,DATE: 5-17-02 STATION #81             Shenandoah Valley CIMIS weather station went permanently off-line due to degrading siting conditions and poor cooperator maintenance.,38.522697,-120.80507,1550,1990-05-11,2000-05-17,472.44,33.85,False
82,Claremont,Claremont,Southern Region Office,Los Angeles,4/13/1989,9/26/2007,False,True,1620,Grass,34º7'48N / 34.13,-117º41'46W / -117.69611,"DATE: 11-18-02<br/><br/>
STATION#:82<br/>                             STATION NAME: Claremont<br/> 
ETO ZONE:  9 <br/>
PREVAILING WINDS:<br/>   
LOCAL CHARACTER: Claremont is an urban area in the foothills below the Transverse Range.  The site is the Three Valleys Municipal WD.<br/><br/>   

DESCRIPTION OF STATION SITE:<br/>
 Located on an  irrigated turf covered tank that is approximately 6-8 feet above grade.  The tank is in front of the facility offices and forms one side of a parking area.<br/><br/> 

NORTH:<br/>
70ft: Irrigated turf<br/>
70ft: 6ft Drop off to paved road<br/>
70-90ft: Paved road<br/>
90-125ft: Up-sloping bank approximately <br/>
15ft above road, planted with drought tolerant plants<br/>
125ft: 6ft Block wall atop the bank<br/>
125+ ft Houses<br/><br/>

EAST:<br/>
100ft: Irrigated turf<br/>
100-200ft: Bare soil/gravel<br/>
200ft: Water treatment plant and tanks<br/><br/>

SOUTH:<br/>
125ft: Irrigated turf<br/>
125-140ft: Slope to parking area planted with drought resistant plants and bushes<br/>
140-200ft: Parking area and roadway (6` below turf area)<br/>
 200ft: Facility offices<br/><br/>
 
WEST:<br/>
110ft: Irrigated turf<br/>
110-120ft: slope down to roadway planted to drought resistant plants<br/>
120-140ft: Paved road (6` below turf area)<br/>
140ft-160`:  Up-sloping bank approximately 15` above road, planted with drought tolerant plants<br/>
160ft: Six foot block wall<br/>
160+ ft: City street and houses beyond<br/><br/>

COMMENTS:<br/>
This site has several constraints that affect CIMIS ETo and data should be used with some caution.",34.13,-117.69611,1620,1989-04-13,2007-09-26,493.776,140.15,False
83,Santa Rosa,Santa Rosa,North Central Region Office,Sonoma,1/1/1990,12/31/2050,True,True,80,Grass,38º24'13N / 38.40355,-122º48'0W / -122.79993,"DATE: 11-25-02<br />
<br />
STATION#:83<br />
STATION NAME: Santa Rosa<br />
ETO ZONE: 5<br />
PREVAILING WINDS: S<br />
LOCAL CHARACTER: This is an agricultural area that is becoming urbanized. Principal crops include apples, wine grapes and dairy.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
The station has been installed on a large tract of land that is used for treated wastewater disposal. The wastewater is sprayed on the land and the mixed grasses that grow there are harvested as hay. County personnel maintain the site and equipment.<br />
<br />
NORTH:<br />
50ft: Mixed grasses<br />
50-75ft: Gravel access road<br />
75ft:300  ft: Mixed grasses<br />
<br />
EAST:<br />
300  ft: Mixed grasses<br />
<br />
SOUTH:<br />
300  ft: Mixed grasses<br />
<br />
WEST:<br />
300  ft: Mixed grasses<br />
<br />
COMMENTS:<br />
Conditions surrounding the station can, and do, change depending on the season. The area is irrigated, sometimes excessively, and the resultant growth is harvested as hay. CIMIS site criteria exists for this site for a short period of each growing season. ETo from this site should used with some caution.",38.40355,-122.79993,80,1990-01-01,2050-12-31,24.384,65.75,True
84,Browns Valley,Marysville,North Central Region Office,Yuba,4/13/1989,12/31/2050,True,True,940,Grass,39º15'9N / 39.252561,-121º18'56W / -121.31567,"DATE: 11-25-02<br />
STATION#:84<br />
STATION NAME: Brown`s Valley<br />
ETO ZONE: 14<br />
PREVAILING WINDS: S<br />
LOCAL CHARACTER: Foothill agricultural with some seasonal recreation. Agriculture is cow/calf operations and some orchards.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
Located on a University of California Field Station. It is installed in a large hillside sprinkler irrigated pasture.<br />
<br />
NORTH:<br />
300  ft: Pasture<br />
<br />
EAST:<br />
300  ft: Pasture<br />
<br />
SOUTH:<br />
200ft: Pasture<br />
200-225ft: Unpaved road<br />
225ft: Corrals, pens and barns.<br />
<br />
WEST:<br />
300  ft: Pasture<br />
<br />
COMMENTS:<br />",39.252561,-121.31567,940,1989-04-13,2050-12-31,286.512,15.69,True
85,Hopland FS,Hopland,North Central Region Office,Mendocino,9/23/1989,4/25/2016,False,False,1160,Bare,39º0'24N / 39.006747,-123º4'48W / -123.08012,"DATE: 11-18-02<br />
<br />
STATION#:85<br />
STATION NAME: Hopland<br />
ETO ZONE: 8<br />
PREVAILING WINDS: N<br />
LOCAL CHARACTER: Located in the Coastal Range along Highway 101 west of Clear Lake. Recreation and some agricultural activity characterize the area. Agricultural activity includes Cow/calf operations, sheep, pears and increasingly, wine grapes.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
The station is located on the upper reaches of the Hopland Field Station operated by the University of California. It is installed in a 30`x30` livestock proof wire enclosure on the side of a hill. The site has mixed grasses that are not irrigated.<br />
<br />
NORTH:<br />
150ft: Pasture<br />
150ft: Oak forest<br />
<br />
EAST:<br />
150ft: Pasture<br />
150ft: Oak forest<br />
<br />
SOUTH:<br />
250ft: Pasture<br />
250ft: widely separated Oak trees/pasture<br />
<br />
WEST:<br />
150ft: Pasture<br />
150-175ft: Unpaved access road<br />
150-250ft: Pasture<br />
250  ft: Oak forest<br />
<br />
COMMENTS:<br />
This is a non-ETo site used primarily as research data for tests performed on the Field Station.",39.006747,-123.08012,1160,1989-09-23,2016-04-25,353.56800000000004,37.34,True
86,Lindcove,Lindcove,South Central Region Office,Tulare,5/31/1989,12/3/2020,False,False,480,Grass,36º21'38N / 36.3605,-119º3'34W / -119.05935,"DATE: 11-12-02<br/><br/>
STATION#:86<br/>                        STATION NAME: Lindcove<br/>
ETO ZONE: 12<br/>
PREVAILING WINDS: NW<br/> 
LOCAL CHARACTER: Agricultural activities predominate in the region.  Primary operations include Valencia and navel oranges and other citrus, grapes and cow/calf ranches.<br/><br/>

DESCRIPTION OF STATION SITE:<br/>
Located on a University of California citrus research facility.  The station has been installed on a small plot of grass.<br/><br/> 

NORTH:<br/>
50ft: Irrigated grass<br/>
50-100+ ft: Bare soil<br/><br/>

EAST:<br/>
50ft: Irrigated grass<br/>
50-500+ ft: Citrus grove<br/><br/>

SOUTH:<br/>
50ft: Irrigated grass<br/>
50-300+ ft Bare soil<br/><br/>

WEST:<br/>
50ft: Irrigated grass<br/>
50-100ft: Bare soil<br/>
100-150+ ft: Paved road<br/><br/>

COMMENTS:<br/>
Poorly located site when compared to CIMIS site criteria.  Predominant value is for local climatological data usable for research purposes.",36.3605,-119.05935,480,1989-05-31,2020-12-03,146.304,3.0,True
87,Meloland,El Centro,Southern Region Office,Imperial,12/12/1989,12/31/2050,True,True,-50,Grass,32º48'22N / 32.806183,-115º26'47W / -115.44626,"DATE: 11-25-02<br />
<br />
STATION#:87<br />
STATION NAME: Meloland<br />
ETO ZONE: 18<br />
PREVAILING WINDS: S<br />
LOCAL CHARACTER: The area is one of the more important agricultural centers of California. Most common agricultural activities include alfalfa/grass hay, carrots, sugar beets and cattle.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
The station is located on a University of California Field Research station. It has been installed on a flood irrigated Bermuda grass plot that is adjacent to research plots. Station personnel maintain the station equipment and site.<br />
<br />
NORTH:<br />
100ft: Bermuda grass<br />
100ft; Research plots<br />
EAST:<br />
100ft: Bermuda grass<br />
100ft; Research plots<br />
<br />
SOUTH:<br />
100ft: Bermuda grass<br />
100  ft; Equipment parking area and facility service buildings<br />
<br />
WEST:<br />
200ft: Bermuda<br />
200  ft: Research plots<br />
<br />
COMMENTS:<br />
The Bermuda grass can become dry and dormant which will affect the station data. Adjacent research plots change depending on the needs of the field station, as a result, the station may be adversely affected by land use changes.",32.806183,-115.44626,-50,1989-12-12,2050-12-31,-15.24,109.74,True
88,Cuyama,Cuyama,Southern Region Office,Santa Barbara,5/20/1989,12/31/2050,True,False,2290,Grass,34º56'33N / 34.942525,-119º40'26W / -119.6738,,34.942525,-119.6738,2290,1989-05-20,2050-12-31,697.9920000000001,33.74,True
89,Salinas South,Salinas,South Central Region Office,Monterey,9/5/1992,9/25/2012,False,True,120,Grass,36º36'34N / 36.609444,-121º31'45W / -121.5293,,36.609444,-121.5293,120,1992-09-05,2012-09-25,36.576,69.57,False
90,Alturas,Alturas,Northern Region Office,Modoc,4/23/1989,12/31/2050,True,True,4405,Grass,41º26'18N / 41.438214,-120º28'49W / -120.48031,"DATE: 11-12-02<br />
<br />
STATION #:90<br />
STATION NAME: Alturas<br />
ETO ZONE: 7<br />
PREVAILING WINDS: SE/NW<br />
LOCAL CHARACTER: Northeast Plateau area is primarily an agricultural area with cattle ranching, hay production and recreation.<br />
<br />
DESCRIPTION OF STATION SITE:<br />
A large well-managed flood irrigated grass pasture. It is enclosed in a 30`x30` wire livestock fence.<br />
<br />
NORTH:<br />
300  ft: grass pasture<br />
15ft: Barbwire fence<br />
<br />
EAST :<br />
300  ft: grass pasture<br />
15ft: Barbwire fence<br />
<br />
SOUTH:<br />
300  ft: grass pasture<br />
15ft: Barbwire fence<br />
<br />
WEST:<br />
300  ft: grass pasture<br />
15ft: Barbwire fence<br />
<br />
COMMENTS:<br />
The grass is typically cut once each year during early July. Prior to being cut, the tall (three feet) grass affects wind flows in the vicinity of the station. Irrigation is held off for a period before and after cutting making the site a dry land environment for perhaps a month or so. After cutting, cattle are usually turned into the pasture and it is irrigated to maintain the grazing.",41.438214,-120.48031,4405,1989-04-23,2050-12-31,1342.644,187.66,True
